Tour, Faim, Pensee
0,-5,1
1,0,2
2,5,3
3,10,4
4,10,4
5,10,4
6,8,4
7,6,4
8,4,4
9,2,4
10,0,4
11,0,4
12,5,5
13,10,6
14,10,6
15,11,6
16,12,6
17,13,6
18,14,6
19,15,6
20,16,6
21,17,6
22,17,6
23,15,6
24,13,6
25,11,6
26,9,6
27,7,6
28,5,6
29,3,6
30,1,6
31,-1,6
32,-1,6
33,4,7
34,9,8
35,14,9
36,14,9
37,15,9
38,16,9
39,17,9
40,18,9
41,19,9
42,20,9
43,21,9
44,22,9
45,22,9
46,20,9
47,18,9
48,16,9
49,14,9
50,12,9
51,10,9
52,8,9
53,6,9
54,4,9
55,2,9
56,0,9
57,0,9
58,5,10
59,10,11
60,10,11
61,11,11
62,12,11
63,13,11
64,14,11
65,15,11
66,16,11
67,17,11
68,18,11
69,19,11
70,20,11
71,21,11
72,21,11
73,19,11
74,17,11
75,15,11
76,13,11
77,11,11
78,9,11
79,7,11
80,5,11
81,3,11
82,1,11
83,-1,11
84,-1,11
85,4,12
86,9,13
87,14,14
88,14,14
89,15,14
90,16,14
91,17,14
92,18,14
93,19,14
94,20,14
95,21,14
96,22,14
97,22,14
98,20,14
99,18,14
100,16,14
101,14,14
102,12,14
103,10,14
104,8,14
105,6,14
106,4,14
107,2,14
108,0,14
109,0,14
110,5,15
111,10,16
112,10,16
113,11,16
114,12,16
115,13,16
116,14,16
117,15,16
118,16,16
119,17,16
120,18,16
121,18,16
122,16,16
123,14,16
124,12,16
125,10,16
126,8,16
127,6,16
128,4,16
129,2,16
130,0,16
131,0,16
132,5,17
133,10,18
134,10,18
135,11,18
136,12,18
137,13,18
138,14,18
139,15,18
140,16,18
141,17,18
142,18,18
143,19,18
144,20,18
145,21,18
146,22,18
147,23,18
148,24,18
149,25,18
150,26,18
151,26,18
152,24,18
153,22,18
154,20,18
155,18,18
156,16,18
157,14,18
158,12,18
159,10,18
160,8,18
161,6,18
162,4,18
163,2,18
164,0,18
165,0,18
166,5,19
167,10,20
168,10,20
169,11,20
170,12,20
171,13,20
172,14,20
173,15,20
174,16,20
175,17,20
176,18,20
177,19,20
178,20,20
179,21,20
180,21,20
181,19,20
182,17,20
183,15,20
184,13,20
185,11,20
186,9,20
187,7,20
188,5,20
189,3,20
190,1,20
191,-1,20
192,-1,20
193,4,21
194,9,22
195,14,23
196,14,23
197,15,23
198,16,23
199,17,23
200,18,23
201,19,23
202,20,23
203,21,23
204,22,23
205,23,23
206,24,23
207,25,23
208,26,23
209,27,23
210,27,23
211,25,23
212,23,23
213,21,23
214,19,23
215,17,23
216,15,23
217,13,23
218,11,23
219,9,23
220,7,23
221,5,23
222,3,23
223,1,23
224,-1,23
225,-1,23
226,4,24
227,9,25
228,14,26
229,14,26
230,15,26
231,16,26
232,17,26
233,18,26
234,19,26
235,20,26
236,21,26
237,22,26
238,23,26
239,24,26
240,25,26
241,26,26
242,27,26
243,28,26
244,29,26
245,30,26
246,31,26
247,31,26
248,29,26
249,27,26
250,25,26
251,23,26
252,21,26
253,19,26
254,17,26
255,15,26
256,13,26
257,11,26
258,9,26
259,7,26
260,5,26
261,3,26
262,1,26
263,-1,26
264,-1,26
265,4,27
266,9,28
267,14,29
268,14,29
269,14,29
270,12,29
271,10,29
272,8,29
273,6,29
274,4,29
275,2,29
276,0,29
277,0,29
278,5,30
279,10,31
280,10,31
281,11,31
282,12,31
283,13,31
284,14,31
285,15,31
286,16,31
287,17,31
288,18,31
289,19,31
290,20,31
291,21,31
292,22,31
293,23,31
294,24,31
295,25,31
296,26,31
297,27,31
298,28,31
299,29,31
300,30,31
301,31,31
302,32,31
303,33,31
304,33,31
305,31,31
306,29,31
307,27,31
308,25,31
309,23,31
310,21,31
311,19,31
312,17,31
313,15,31
314,13,31
315,11,31
316,9,31
317,7,31
318,5,31
319,3,31
320,1,31
321,-1,31
322,-1,31
323,4,32
324,9,33
325,14,34
326,14,34
327,15,34
328,16,34
329,17,34
330,18,34
331,19,34
332,20,34
333,21,34
334,22,34
335,23,34
336,24,34
337,25,34
338,26,34
339,27,34
340,27,34
341,25,34
342,23,34
343,21,34
344,19,34
345,17,34
346,15,34
347,13,34
348,11,34
349,9,34
350,7,34
351,5,34
352,3,34
353,1,34
354,-1,34
355,-1,34
356,4,35
357,9,36
358,14,37
359,14,37
360,15,37
361,16,37
362,17,37
363,18,37
364,19,37
365,20,37
366,21,37
367,22,37
368,23,37
369,24,37
370,25,37
371,26,37
372,27,37
373,28,37
374,29,37
375,30,37
376,31,37
377,32,37
378,33,37
379,34,37
380,35,37
381,35,37
382,33,37
383,31,37
384,29,37
385,27,37
386,25,37
387,23,37
388,21,37
389,19,37
390,17,37
391,15,37
392,13,37
393,11,37
394,9,37
395,7,37
396,5,37
397,3,37
398,1,37
399,-1,37
400,-1,37
401,4,38
402,9,39
403,14,40
404,14,40
405,15,40
406,16,40
407,17,40
408,18,40
409,19,40
410,20,40
411,21,40
412,22,40
413,23,40
414,24,40
415,25,40
416,26,40
417,27,40
418,28,40
419,29,40
420,30,40
421,31,40
422,31,40
423,29,40
424,27,40
425,25,40
426,23,40
427,21,40
428,19,40
429,17,40
430,15,40
431,13,40
432,11,40
433,9,40
434,7,40
435,5,40
436,3,40
437,1,40
438,-1,40
439,-1,40
440,4,41
441,9,42
442,14,43
443,14,43
444,15,43
445,16,43
446,17,43
447,18,43
448,19,43
449,20,43
450,21,43
451,22,43
452,23,43
453,24,43
454,25,43
455,26,43
456,27,43
457,28,43
458,29,43
459,30,43
460,31,43
461,32,43
462,33,43
463,34,43
464,35,43
465,36,43
466,37,43
467,37,43
468,35,43
469,33,43
470,31,43
471,29,43
472,27,43
473,25,43
474,23,43
475,21,43
476,19,43
477,17,43
478,15,43
479,13,43
480,11,43
481,9,43
482,7,43
483,5,43
484,3,43
485,1,43
486,-1,43
487,-1,43
488,4,44
489,9,45
490,14,46
491,14,46
492,15,46
493,16,46
494,17,46
495,18,46
496,19,46
497,20,46
498,21,46
499,22,46
500,23,46
501,24,46
502,25,46
503,26,46
504,27,46
505,28,46
506,29,46
507,30,46
508,31,46
509,32,46
510,32,46
511,30,46
512,28,46
513,26,46
514,24,46
515,22,46
516,20,46
517,18,46
518,16,46
519,14,46
520,12,46
521,10,46
522,8,46
523,6,46
524,4,46
525,2,46
526,0,46
527,0,46
528,5,47
529,10,48
530,10,48
531,11,48
532,12,48
533,13,48
534,14,48
535,15,48
536,16,48
537,17,48
538,18,48
539,19,48
540,20,48
541,21,48
542,22,48
543,23,48
544,24,48
545,25,48
546,25,48
547,23,48
548,21,48
549,19,48
550,17,48
551,15,48
552,13,48
553,11,48
554,9,48
555,7,48
556,5,48
557,3,48
558,1,48
559,-1,48
560,-1,48
561,4,49
562,9,50
563,14,51
564,14,51
565,15,51
566,16,51
567,17,51
568,18,51
569,19,51
570,20,51
571,21,51
572,22,51
573,23,51
574,24,51
575,25,51
576,26,51
577,27,51
578,28,51
