Tour, Faim, Pensee
0,-5,1
1,0,2
2,5,3
3,10,4
4,10,4
5,11,4
6,12,4
7,13,4
8,14,4
9,15,4
10,16,4
11,17,4
12,17,4
13,15,4
14,13,4
15,11,4
16,9,4
17,7,4
18,5,4
19,3,4
20,1,4
21,-1,4
22,-1,4
23,4,5
24,9,6
25,14,7
26,14,7
27,15,7
28,16,7
29,17,7
30,18,7
31,19,7
32,20,7
33,20,7
34,18,7
35,16,7
36,14,7
37,12,7
38,10,7
39,8,7
40,6,7
41,4,7
42,2,7
43,0,7
44,0,7
45,5,8
46,10,9
47,10,9
48,11,9
49,12,9
50,13,9
51,14,9
52,15,9
53,16,9
54,17,9
55,18,9
56,19,9
57,20,9
58,20,9
59,18,9
60,16,9
61,14,9
62,12,9
63,10,9
64,8,9
65,6,9
66,4,9
67,2,9
68,0,9
69,0,9
70,5,10
71,10,11
72,10,11
73,11,11
74,12,11
75,13,11
76,14,11
77,15,11
78,16,11
79,17,11
80,18,11
81,19,11
82,20,11
83,21,11
84,22,11
85,22,11
86,20,11
87,18,11
88,16,11
89,14,11
90,12,11
91,10,11
92,8,11
93,6,11
94,4,11
95,2,11
96,0,11
97,0,11
98,5,12
99,10,13
100,10,13
101,11,13
102,12,13
103,13,13
104,14,13
105,15,13
106,16,13
107,17,13
108,18,13
109,19,13
110,19,13
111,17,13
112,15,13
113,13,13
114,11,13
115,9,13
116,7,13
117,5,13
118,3,13
119,1,13
120,-1,13
121,-1,13
122,4,14
123,9,15
124,14,16
125,14,16
126,15,16
127,16,16
128,17,16
129,18,16
130,19,16
131,20,16
132,21,16
133,22,16
134,22,16
135,20,16
136,18,16
137,16,16
138,14,16
139,12,16
140,10,16
141,8,16
142,6,16
143,4,16
144,2,16
145,0,16
146,0,16
147,5,17
148,10,18
149,10,18
150,11,18
151,12,18
152,13,18
153,14,18
154,15,18
155,16,18
156,17,18
157,18,18
158,19,18
159,20,18
160,21,18
161,22,18
162,23,18
163,24,18
164,25,18
165,26,18
166,26,18
167,24,18
168,22,18
169,20,18
170,18,18
171,16,18
172,14,18
173,12,18
174,10,18
175,8,18
176,6,18
177,4,18
178,2,18
179,0,18
180,0,18
181,5,19
182,10,20
183,10,20
184,11,20
185,12,20
186,13,20
187,14,20
188,15,20
189,16,20
190,17,20
191,18,20
192,19,20
193,20,20
194,21,20
195,22,20
196,23,20
197,23,20
198,21,20
199,19,20
200,17,20
201,15,20
202,13,20
203,11,20
204,9,20
205,7,20
206,5,20
207,3,20
208,1,20
209,-1,20
210,-1,20
211,4,21
212,9,22
213,14,23
214,14,23
215,15,23
216,16,23
217,17,23
218,18,23
219,19,23
220,20,23
221,21,23
222,22,23
223,23,23
224,24,23
225,25,23
226,26,23
227,27,23
228,28,23
229,29,23
230,29,23
231,27,23
232,25,23
233,23,23
234,21,23
235,19,23
236,17,23
237,15,23
238,13,23
239,11,23
240,9,23
241,7,23
242,5,23
243,3,23
244,1,23
245,-1,23
246,-1,23
247,4,24
248,9,25
249,14,26
250,14,26
251,15,26
252,16,26
253,17,26
254,18,26
255,19,26
256,20,26
257,21,26
258,22,26
259,23,26
260,24,26
261,25,26
262,26,26
263,27,26
264,28,26
265,29,26
266,30,26
267,31,26
268,32,26
269,33,26
270,34,26
271,35,26
272,36,26
273,37,26
274,38,26
275,39,26
276,40,26
277,41,26
278,41,26
279,39,26
280,37,26
281,35,26
282,33,26
283,31,26
284,29,26
285,27,26
286,25,26
287,23,26
288,21,26
289,19,26
290,17,26
291,15,26
292,13,26
293,11,26
294,9,26
295,7,26
296,5,26
297,3,26
298,1,26
299,-1,26
300,-1,26
301,4,27
302,9,28
303,14,29
304,14,29
305,15,29
306,16,29
307,17,29
308,18,29
309,19,29
310,20,29
311,21,29
312,22,29
313,23,29
314,24,29
315,25,29
316,26,29
317,27,29
318,28,29
319,29,29
320,30,29
321,31,29
322,32,29
323,32,29
324,30,29
325,28,29
326,26,29
327,24,29
328,22,29
329,20,29
330,18,29
331,16,29
332,14,29
333,12,29
334,10,29
335,8,29
336,6,29
337,4,29
338,2,29
339,0,29
340,0,29
341,5,30
342,10,31
343,10,31
344,11,31
345,12,31
346,13,31
347,14,31
348,15,31
349,16,31
350,17,31
351,18,31
352,19,31
353,20,31
354,21,31
355,22,31
356,23,31
357,23,31
358,21,31
359,19,31
360,17,31
361,15,31
362,13,31
363,11,31
364,9,31
365,7,31
366,5,31
367,3,31
368,1,31
369,-1,31
370,-1,31
371,4,32
372,9,33
373,14,34
374,14,34
375,15,34
376,16,34
377,17,34
378,18,34
379,19,34
380,20,34
381,21,34
382,22,34
383,23,34
384,24,34
385,25,34
386,26,34
387,27,34
388,28,34
389,29,34
390,30,34
391,31,34
392,32,34
393,33,34
394,34,34
395,35,34
396,36,34
397,37,34
398,38,34
399,39,34
400,40,34
401,40,34
402,38,34
403,36,34
404,34,34
405,32,34
406,30,34
407,28,34
408,26,34
409,24,34
410,22,34
411,20,34
412,18,34
413,16,34
414,14,34
415,12,34
416,10,34
417,8,34
418,6,34
419,4,34
420,2,34
421,0,34
422,0,34
423,5,35
424,10,36
425,10,36
426,11,36
427,12,36
428,13,36
429,14,36
430,15,36
431,16,36
432,17,36
433,18,36
434,19,36
435,20,36
436,21,36
437,22,36
438,23,36
439,24,36
440,24,36
441,22,36
442,20,36
443,18,36
444,16,36
445,14,36
446,12,36
447,10,36
448,8,36
449,6,36
450,4,36
451,2,36
452,0,36
453,0,36
454,5,37
455,10,38
456,10,38
457,11,38
458,12,38
459,13,38
460,14,38
461,15,38
462,16,38
463,17,38
464,18,38
465,19,38
466,20,38
467,21,38
468,22,38
469,23,38
470,24,38
471,25,38
472,26,38
473,27,38
474,28,38
475,29,38
476,30,38
477,31,38
478,32,38
479,33,38
480,34,38
481,35,38
482,36,38
483,37,38
484,38,38
485,39,38
486,40,38
487,41,38
488,41,38
489,39,38
490,37,38
491,35,38
492,33,38
493,31,38
494,29,38
495,27,38
496,25,38
497,23,38
498,21,38
499,19,38
500,17,38
501,15,38
502,13,38
503,11,38
504,9,38
505,7,38
506,5,38
507,3,38
508,1,38
509,-1,38
510,-1,38
511,4,39
512,9,40
513,14,41
514,14,41
515,15,41
516,16,41
517,17,41
518,18,41
519,19,41
520,20,41
521,21,41
522,22,41
523,23,41
524,24,41
525,25,41
526,26,41
527,27,41
528,28,41
529,29,41
530,29,41
531,27,41
532,25,41
533,23,41
534,21,41
535,19,41
536,17,41
537,15,41
538,13,41
539,11,41
540,9,41
541,7,41
542,5,41
543,3,41
544,1,41
545,-1,41
546,-1,41
547,4,42
548,9,43
549,14,44
550,14,44
551,15,44
552,16,44
553,17,44
554,18,44
555,19,44
556,20,44
557,21,44
558,22,44
559,23,44
560,24,44
561,25,44
562,26,44
563,27,44
564,27,44
565,25,44
566,23,44
567,21,44
568,19,44
569,17,44
570,15,44
571,13,44
572,11,44
573,9,44
574,7,44
575,5,44
576,3,44
577,1,44
578,-1,44
579,-1,44
