Tour, Faim, Pensee
0,-5,1
1,0,2
2,5,3
3,10,4
4,10,4
5,10,4
6,8,4
7,6,4
8,4,4
9,2,4
10,0,4
11,0,4
12,5,5
13,10,6
14,10,6
15,11,6
16,12,6
17,13,6
18,14,6
19,15,6
20,16,6
21,17,6
22,18,6
23,18,6
24,16,6
25,14,6
26,12,6
27,10,6
28,8,6
29,6,6
30,4,6
31,2,6
32,0,6
33,0,6
34,5,7
35,10,8
36,10,8
37,11,8
38,12,8
39,13,8
40,14,8
41,15,8
42,16,8
43,17,8
44,18,8
45,19,8
46,19,8
47,17,8
48,15,8
49,13,8
50,11,8
51,9,8
52,7,8
53,5,8
54,3,8
55,1,8
56,-1,8
57,-1,8
58,4,9
59,9,10
60,14,11
61,14,11
62,15,11
63,16,11
64,17,11
65,18,11
66,19,11
67,20,11
68,21,11
69,22,11
70,22,11
71,20,11
72,18,11
73,16,11
74,14,11
75,12,11
76,10,11
77,8,11
78,6,11
79,4,11
80,2,11
81,0,11
82,0,11
83,5,12
84,10,13
85,10,13
86,11,13
87,12,13
88,13,13
89,14,13
90,15,13
91,16,13
92,17,13
93,18,13
94,19,13
95,20,13
96,21,13
97,22,13
98,22,13
99,20,13
100,18,13
101,16,13
102,14,13
103,12,13
104,10,13
105,8,13
106,6,13
107,4,13
108,2,13
109,0,13
110,0,13
111,5,14
112,10,15
113,10,15
114,11,15
115,12,15
116,13,15
117,14,15
118,15,15
119,16,15
120,17,15
121,18,15
122,19,15
123,19,15
124,17,15
125,15,15
126,13,15
127,11,15
128,9,15
129,7,15
130,5,15
131,3,15
132,1,15
133,-1,15
134,-1,15
135,4,16
136,9,17
137,14,18
138,14,18
139,15,18
140,16,18
141,17,18
142,18,18
143,19,18
144,20,18
145,21,18
146,22,18
147,23,18
148,23,18
149,21,18
150,19,18
151,17,18
152,15,18
153,13,18
154,11,18
155,9,18
156,7,18
157,5,18
158,3,18
159,1,18
160,-1,18
161,-1,18
162,4,19
163,9,20
164,14,21
165,14,21
166,15,21
167,16,21
168,17,21
169,18,21
170,19,21
171,20,21
172,21,21
173,22,21
174,23,21
175,24,21
176,25,21
177,26,21
178,27,21
179,28,21
180,29,21
181,29,21
182,27,21
183,25,21
184,23,21
185,21,21
186,19,21
187,17,21
188,15,21
189,13,21
190,11,21
191,9,21
192,7,21
193,5,21
194,3,21
195,1,21
196,-1,21
197,-1,21
198,4,22
199,9,23
200,14,24
201,14,24
202,15,24
203,16,24
204,17,24
205,18,24
206,19,24
207,20,24
208,21,24
209,22,24
210,23,24
211,24,24
212,25,24
213,26,24
214,27,24
215,27,24
216,25,24
217,23,24
218,21,24
219,19,24
220,17,24
221,15,24
222,13,24
223,11,24
224,9,24
225,7,24
226,5,24
227,3,24
228,1,24
229,-1,24
230,-1,24
231,4,25
232,9,26
233,14,27
234,14,27
235,15,27
236,16,27
237,17,27
238,18,27
239,19,27
240,20,27
241,21,27
242,22,27
243,23,27
244,24,27
245,25,27
246,26,27
247,27,27
248,28,27
249,29,27
250,30,27
251,31,27
252,32,27
253,33,27
254,33,27
255,31,27
256,29,27
257,27,27
258,25,27
259,23,27
260,21,27
261,19,27
262,17,27
263,15,27
264,13,27
265,11,27
266,9,27
267,7,27
268,5,27
269,3,27
270,1,27
271,-1,27
272,-1,27
273,4,28
274,9,29
275,14,30
276,14,30
277,15,30
278,16,30
279,17,30
280,18,30
281,19,30
282,20,30
283,21,30
284,22,30
285,23,30
286,24,30
287,25,30
288,26,30
289,27,30
290,28,30
291,29,30
292,30,30
293,31,30
294,32,30
295,33,30
296,34,30
297,35,30
298,36,30
299,37,30
300,38,30
301,38,30
302,36,30
303,34,30
304,32,30
305,30,30
306,28,30
307,26,30
308,24,30
309,22,30
310,20,30
311,18,30
312,16,30
313,14,30
314,12,30
315,10,30
316,8,30
317,6,30
318,4,30
319,2,30
320,0,30
321,0,30
322,5,31
323,10,32
324,10,32
325,11,32
326,12,32
327,13,32
328,14,32
329,15,32
330,16,32
331,17,32
332,18,32
333,19,32
334,20,32
335,21,32
336,22,32
337,23,32
338,24,32
339,25,32
340,26,32
341,27,32
342,27,32
343,25,32
344,23,32
345,21,32
346,19,32
347,17,32
348,15,32
349,13,32
350,11,32
351,9,32
352,7,32
353,5,32
354,3,32
355,1,32
356,-1,32
357,-1,32
358,4,33
359,9,34
360,14,35
361,14,35
362,15,35
363,16,35
364,17,35
365,18,35
366,19,35
367,20,35
368,21,35
369,22,35
370,23,35
371,24,35
372,25,35
373,25,35
374,23,35
375,21,35
376,19,35
377,17,35
378,15,35
379,13,35
380,11,35
381,9,35
382,7,35
383,5,35
384,3,35
385,1,35
386,-1,35
387,-1,35
388,4,36
389,9,37
390,14,38
391,14,38
392,14,38
393,12,38
394,10,38
395,8,38
396,6,38
397,4,38
398,2,38
399,0,38
400,0,38
401,5,39
402,10,40
403,10,40
404,11,40
405,12,40
406,13,40
407,14,40
408,15,40
409,16,40
410,17,40
411,18,40
412,19,40
413,20,40
414,21,40
415,22,40
416,23,40
417,24,40
418,25,40
419,26,40
420,27,40
421,28,40
422,29,40
423,29,40
424,27,40
425,25,40
426,23,40
427,21,40
428,19,40
429,17,40
430,15,40
431,13,40
432,11,40
433,9,40
434,7,40
435,5,40
436,3,40
437,1,40
438,-1,40
439,-1,40
440,4,41
441,9,42
442,14,43
443,14,43
444,15,43
445,16,43
446,17,43
447,18,43
448,19,43
449,20,43
450,21,43
451,22,43
452,23,43
453,24,43
454,25,43
455,25,43
456,23,43
457,21,43
458,19,43
459,17,43
460,15,43
461,13,43
462,11,43
463,9,43
464,7,43
465,5,43
466,3,43
467,1,43
468,-1,43
469,-1,43
470,4,44
471,9,45
472,14,46
473,14,46
474,14,46
475,12,46
476,10,46
477,8,46
478,6,46
479,4,46
480,2,46
481,0,46
482,0,46
483,5,47
484,10,48
485,10,48
486,11,48
487,12,48
488,13,48
489,14,48
490,15,48
491,16,48
492,17,48
493,18,48
494,19,48
495,20,48
496,21,48
497,22,48
498,23,48
499,24,48
500,25,48
501,26,48
502,27,48
503,28,48
504,29,48
505,30,48
506,31,48
507,32,48
508,33,48
509,34,48
510,35,48
511,35,48
512,33,48
513,31,48
514,29,48
515,27,48
516,25,48
517,23,48
518,21,48
519,19,48
520,17,48
521,15,48
522,13,48
523,11,48
524,9,48
525,7,48
526,5,48
527,3,48
528,1,48
529,-1,48
530,-1,48
531,4,49
532,9,50
533,14,51
534,14,51
535,15,51
536,16,51
537,17,51
538,18,51
539,19,51
540,20,51
541,21,51
542,22,51
543,23,51
544,24,51
545,25,51
546,26,51
547,27,51
548,28,51
549,28,51
550,26,51
551,24,51
552,22,51
553,20,51
554,18,51
555,16,51
556,14,51
557,12,51
558,10,51
559,8,51
560,6,51
561,4,51
562,2,51
563,0,51
564,0,51
565,5,52
566,10,53
567,10,53
568,11,53
569,12,53
570,13,53
571,14,53
572,15,53
573,16,53
574,17,53
575,18,53
576,19,53
577,20,53
578,21,53
