Tour, Faim, Pensee
0,-5,1
1,0,2
2,5,3
3,10,4
4,10,4
5,11,4
6,12,4
7,13,4
8,14,4
9,15,4
10,16,4
11,17,4
12,17,4
13,15,4
14,13,4
15,11,4
16,9,4
17,7,4
18,5,4
19,3,4
20,1,4
21,-1,4
22,-1,4
23,4,5
24,9,6
25,14,7
26,14,7
27,15,7
28,16,7
29,17,7
30,18,7
31,19,7
32,20,7
33,21,7
34,21,7
35,19,7
36,17,7
37,15,7
38,13,7
39,11,7
40,9,7
41,7,7
42,5,7
43,3,7
44,1,7
45,-1,7
46,-1,7
47,4,8
48,9,9
49,14,10
50,14,10
51,15,10
52,16,10
53,17,10
54,18,10
55,19,10
56,20,10
57,21,10
58,22,10
59,22,10
60,20,10
61,18,10
62,16,10
63,14,10
64,12,10
65,10,10
66,8,10
67,6,10
68,4,10
69,2,10
70,0,10
71,0,10
72,5,11
73,10,12
74,10,12
75,11,12
76,12,12
77,13,12
78,14,12
79,15,12
80,16,12
81,17,12
82,18,12
83,18,12
84,16,12
85,14,12
86,12,12
87,10,12
88,8,12
89,6,12
90,4,12
91,2,12
92,0,12
93,0,12
94,5,13
95,10,14
96,10,14
97,11,14
98,12,14
99,13,14
100,14,14
101,15,14
102,16,14
103,17,14
104,18,14
105,19,14
106,20,14
107,21,14
108,22,14
109,23,14
110,23,14
111,21,14
112,19,14
113,17,14
114,15,14
115,13,14
116,11,14
117,9,14
118,7,14
119,5,14
120,3,14
121,1,14
122,-1,14
123,-1,14
124,4,15
125,9,16
126,14,17
127,14,17
128,15,17
129,16,17
130,17,17
131,18,17
132,19,17
133,20,17
134,21,17
135,22,17
136,23,17
137,24,17
138,24,17
139,22,17
140,20,17
141,18,17
142,16,17
143,14,17
144,12,17
145,10,17
146,8,17
147,6,17
148,4,17
149,2,17
150,0,17
151,0,17
152,5,18
153,10,19
154,10,19
155,11,19
156,12,19
157,13,19
158,14,19
159,15,19
160,16,19
161,17,19
162,18,19
163,19,19
164,19,19
165,17,19
166,15,19
167,13,19
168,11,19
169,9,19
170,7,19
171,5,19
172,3,19
173,1,19
174,-1,19
175,-1,19
176,4,20
177,9,21
178,14,22
179,14,22
180,15,22
181,16,22
182,17,22
183,18,22
184,19,22
185,20,22
186,21,22
187,22,22
188,23,22
189,24,22
190,25,22
191,25,22
192,23,22
193,21,22
194,19,22
195,17,22
196,15,22
197,13,22
198,11,22
199,9,22
200,7,22
201,5,22
202,3,22
203,1,22
204,-1,22
205,-1,22
206,4,23
207,9,24
208,14,25
209,14,25
210,15,25
211,16,25
212,17,25
213,18,25
214,19,25
215,20,25
216,21,25
217,22,25
218,23,25
219,24,25
220,25,25
221,26,25
222,27,25
223,28,25
224,29,25
225,30,25
226,31,25
227,32,25
228,33,25
229,34,25
230,35,25
231,36,25
232,37,25
233,38,25
234,39,25
235,40,25
236,41,25
237,42,25
238,42,25
239,40,25
240,38,25
241,36,25
242,34,25
243,32,25
244,30,25
245,28,25
246,26,25
247,24,25
248,22,25
249,20,25
250,18,25
251,16,25
252,14,25
253,12,25
254,10,25
255,8,25
256,6,25
257,4,25
258,2,25
259,0,25
260,0,25
261,5,26
262,10,27
263,10,27
264,11,27
265,12,27
266,13,27
267,14,27
268,15,27
269,16,27
270,17,27
271,18,27
272,19,27
273,20,27
274,21,27
275,22,27
276,23,27
277,24,27
278,25,27
279,26,27
280,27,27
281,27,27
282,25,27
283,23,27
284,21,27
285,19,27
286,17,27
287,15,27
288,13,27
289,11,27
290,9,27
291,7,27
292,5,27
293,3,27
294,1,27
295,-1,27
296,-1,27
297,4,28
298,9,29
299,14,30
300,14,30
301,15,30
302,16,30
303,17,30
304,18,30
305,19,30
306,20,30
307,21,30
308,22,30
309,23,30
310,24,30
311,25,30
312,26,30
313,27,30
314,28,30
315,29,30
316,30,30
317,31,30
318,32,30
319,33,30
320,34,30
321,35,30
322,36,30
323,37,30
324,37,30
325,35,30
326,33,30
327,31,30
328,29,30
329,27,30
330,25,30
331,23,30
332,21,30
333,19,30
334,17,30
335,15,30
336,13,30
337,11,30
338,9,30
339,7,30
340,5,30
341,3,30
342,1,30
343,-1,30
344,-1,30
345,4,31
346,9,32
347,14,33
348,14,33
349,15,33
350,16,33
351,17,33
352,18,33
353,19,33
354,20,33
355,21,33
356,22,33
357,23,33
358,24,33
359,25,33
360,26,33
361,27,33
362,28,33
363,28,33
364,26,33
365,24,33
366,22,33
367,20,33
368,18,33
369,16,33
370,14,33
371,12,33
372,10,33
373,8,33
374,6,33
375,4,33
376,2,33
377,0,33
378,0,33
379,5,34
380,10,35
381,10,35
382,11,35
383,12,35
384,13,35
385,14,35
386,15,35
387,16,35
388,17,35
389,18,35
390,19,35
391,20,35
392,21,35
393,22,35
394,22,35
395,20,35
396,18,35
397,16,35
398,14,35
399,12,35
400,10,35
401,8,35
402,6,35
403,4,35
404,2,35
405,0,35
406,0,35
407,5,36
408,10,37
409,10,37
410,10,37
411,8,37
412,6,37
413,4,37
414,2,37
415,0,37
416,0,37
417,5,38
418,10,39
419,10,39
420,11,39
421,12,39
422,13,39
423,14,39
424,15,39
425,16,39
426,17,39
427,18,39
428,19,39
429,20,39
430,21,39
431,22,39
432,23,39
433,24,39
434,25,39
435,26,39
436,27,39
437,28,39
438,29,39
439,30,39
440,31,39
441,32,39
442,33,39
443,34,39
444,35,39
445,36,39
446,36,39
447,34,39
448,32,39
449,30,39
450,28,39
451,26,39
452,24,39
453,22,39
454,20,39
455,18,39
456,16,39
457,14,39
458,12,39
459,10,39
460,8,39
461,6,39
462,4,39
463,2,39
464,0,39
465,0,39
466,5,40
467,10,41
468,10,41
469,11,41
470,12,41
471,13,41
472,14,41
473,15,41
474,16,41
475,17,41
476,18,41
477,19,41
478,20,41
479,21,41
480,22,41
481,23,41
482,24,41
483,25,41
484,26,41
485,26,41
486,24,41
487,22,41
488,20,41
489,18,41
490,16,41
491,14,41
492,12,41
493,10,41
494,8,41
495,6,41
496,4,41
497,2,41
498,0,41
499,0,41
500,5,42
501,10,43
502,10,43
503,11,43
504,12,43
505,13,43
506,14,43
507,15,43
508,16,43
509,17,43
510,18,43
511,19,43
512,20,43
513,21,43
514,22,43
515,23,43
516,24,43
517,25,43
518,26,43
519,27,43
520,28,43
521,28,43
522,26,43
523,24,43
524,22,43
525,20,43
526,18,43
527,16,43
528,14,43
529,12,43
530,10,43
531,8,43
532,6,43
533,4,43
534,2,43
535,0,43
536,0,43
537,5,44
538,10,45
539,10,45
540,10,45
541,8,45
542,6,45
543,4,45
544,2,45
545,0,45
546,0,45
547,5,46
548,10,47
549,10,47
550,11,47
551,12,47
552,13,47
553,14,47
554,15,47
555,16,47
556,17,47
557,18,47
558,19,47
559,20,47
560,21,47
561,22,47
562,23,47
563,24,47
564,25,47
565,26,47
566,27,47
567,28,47
568,29,47
569,30,47
570,31,47
571,32,47
572,32,47
573,30,47
574,28,47
575,26,47
576,24,47
577,22,47
578,20,47
579,18,47
580,16,47
